StartFrame,EndFrame,NativeStartFrame,NativeEndFrame,TimingSearchStartFrame,TimingSearchEndFrame,StartBoundaryStatus,EndBoundaryStatus,TimingResolved,NativeTraceCrossesReturnLevel,TimingMaxExtensionFrames,SiteID,EventID,Session,SearchLimitSec
588,596,592,596,582,600,return_crossing,seed_not_below_return_level,0,1,10,10,6,M400-01-baseline-awake,10
82,97,85,96,75,106,return_crossing,return_crossing,1,0,10,11,1,M400-01-baseline-awake,10
311,315,312,315,302,325,return_crossing,return_crossing,1,0,10,11,2,M400-01-baseline-awake,10
393,403,399,401,389,411,return_crossing,return_crossing,1,0,10,11,3,M400-01-baseline-awake,10
468,477,472,475,462,485,return_crossing,return_crossing,1,0,10,11,4,M400-01-baseline-awake,10
531,546,533,536,523,546,return_crossing,return_crossing,1,0,10,11,5,M400-01-baseline-awake,10
41,47,41,43,31,53,seed_not_below_return_level,return_crossing,0,1,10,12,1,M400-01-baseline-awake,10
465,473,465,471,455,481,search_limit_unresolved,return_crossing,0,0,10,12,2,M400-01-baseline-awake,10
107,124,109,124,99,134,return_crossing,seed_not_below_return_level,0,1,10,13,1,M400-01-baseline-awake,10
311,324,312,324,302,334,return_crossing,return_crossing,1,0,10,13,2,M400-01-baseline-awake,10
365,372,365,369,355,379,search_limit_unresolved,return_crossing,0,0,10,13,3,M400-01-baseline-awake,10
504,512,507,511,497,521,return_crossing,return_crossing,1,0,10,13,4,M400-01-baseline-awake,10
66,76,67,76,57,86,return_crossing,return_crossing,1,0,10,14,1,M400-01-baseline-awake,10
106,113,107,109,97,119,return_crossing,return_crossing,1,0,10,14,2,M400-01-baseline-awake,10
209,221,211,219,201,229,return_crossing,return_crossing,1,0,10,14,3,M400-01-baseline-awake,10
292,297,292,296,282,306,return_crossing,return_crossing,1,0,10,14,4,M400-01-baseline-awake,10
348,361,349,358,339,368,return_crossing,return_crossing,1,0,10,14,5,M400-01-baseline-awake,10
403,411,404,409,394,419,return_crossing,return_crossing,1,0,10,14,6,M400-01-baseline-awake,10
480,486,480,485,470,495,return_crossing,return_crossing,1,0,10,14,7,M400-01-baseline-awake,10
512,516,513,515,503,525,return_crossing,return_crossing,1,0,10,14,8,M400-01-baseline-awake,10
546,552,546,550,536,560,return_crossing,return_crossing,1,0,10,14,9,M400-01-baseline-awake,10
571,579,572,575,562,585,return_crossing,return_crossing,1,0,10,14,10,M400-01-baseline-awake,10
57,76,57,76,47,86,search_limit_unresolved,seed_not_below_return_level,0,1,10,15,1,M400-01-baseline-awake,10
106,112,106,108,96,118,return_crossing,return_crossing,1,0,10,15,2,M400-01-baseline-awake,10
188,192,189,191,179,201,return_crossing,return_crossing,1,0,10,15,3,M400-01-baseline-awake,10
404,412,405,412,395,422,return_crossing,search_limit_unresolved,0,0,10,15,4,M400-01-baseline-awake,10
479,482,479,482,469,492,seed_not_below_return_level,return_crossing,0,1,10,15,5,M400-01-baseline-awake,10
512,514,512,514,502,524,return_crossing,return_crossing,1,0,10,15,6,M400-01-baseline-awake,10
546,549,546,548,536,558,return_crossing,return_crossing,1,0,10,15,7,M400-01-baseline-awake,10
43,56,49,55,39,65,return_crossing,return_crossing,1,0,10,16,1,M400-01-baseline-awake,10
234,241,234,240,224,250,search_limit_unresolved,return_crossing,0,0,10,16,2,M400-01-baseline-awake,10
70,81,70,80,60,90,search_limit_unresolved,return_crossing,0,0,10,17,1,M400-01-baseline-awake,10
301,304,301,304,291,314,seed_not_below_return_level,seed_not_below_return_level,0,1,10,17,2,M400-01-baseline-awake,10
351,377,360,371,350,381,return_crossing,return_crossing,1,0,10,17,3,M400-01-baseline-awake,10
488,519,488,519,478,529,search_limit_unresolved,seed_not_below_return_level,0,1,10,17,4,M400-01-baseline-awake,10
553,565,555,557,545,567,return_crossing,return_crossing,1,0,10,17,5,M400-01-baseline-awake,10
71,78,71,78,61,88,search_limit_unresolved,return_crossing,0,0,10,18,1,M400-01-baseline-awake,10
110,117,113,115,103,125,return_crossing,return_crossing,1,0,10,18,2,M400-01-baseline-awake,10
261,266,263,266,253,276,return_crossing,return_crossing,1,0,10,18,3,M400-01-baseline-awake,10
297,302,297,301,287,311,return_crossing,return_crossing,1,0,10,18,4,M400-01-baseline-awake,10
314,333,324,333,314,343,return_crossing,search_limit_unresolved,0,0,10,18,5,M400-01-baseline-awake,10
482,486,483,486,473,496,return_crossing,search_limit_unresolved,0,0,10,18,6,M400-01-baseline-awake,10
537,542,537,542,527,552,seed_not_below_return_level,seed_not_below_return_level,0,1,10,18,7,M400-01-baseline-awake,10
468,480,471,478,461,488,return_crossing,return_crossing,1,0,10,19,1,M400-01-baseline-awake,10
44,63,54,56,44,66,return_crossing,return_crossing,1,0,10,20,1,M400-01-baseline-awake,10
46,60,55,57,45,67,return_crossing,return_crossing,1,0,10,21,1,M400-01-baseline-awake,10
71,83,71,76,61,86,search_limit_unresolved,return_crossing,0,0,10,22,1,M400-01-baseline-awake,10
369,377,369,371,359,381,search_limit_unresolved,return_crossing,0,0,10,22,2,M400-01-baseline-awake,10
483,520,488,512,478,522,return_crossing,return_crossing,1,0,10,22,3,M400-01-baseline-awake,10
133,153,136,146,126,156,return_crossing,return_crossing,1,0,10,23,1,M400-01-baseline-awake,10
214,223,216,223,206,233,return_crossing,search_limit_unresolved,0,0,10,23,2,M400-01-baseline-awake,10
245,257,245,257,235,267,search_limit_unresolved,search_limit_unresolved,0,1,10,23,3,M400-01-baseline-awake,10
357,368,357,368,347,378,search_limit_unresolved,search_limit_unresolved,0,0,10,23,4,M400-01-baseline-awake,10
500,531,500,531,490,541,seed_not_below_return_level,seed_not_below_return_level,0,1,10,23,5,M400-01-baseline-awake,10
553,558,553,557,543,567,seed_not_below_return_level,return_crossing,0,1,10,23,6,M400-01-baseline-awake,10
59,72,61,63,51,73,return_crossing,return_crossing,1,0,10,24,1,M400-01-baseline-awake,10
518,545,519,545,509,555,return_crossing,return_crossing,1,0,10,25,1,M400-01-baseline-awake,10
94,96,94,96,84,106,search_limit_unresolved,search_limit_unresolved,0,0,10,26,1,M400-01-baseline-awake,10
449,461,449,461,439,471,search_limit_unresolved,return_crossing,0,0,10,27,1,M400-01-baseline-awake,10
95,111,102,105,92,115,return_crossing,return_crossing,1,0,10,28,1,M400-01-baseline-awake,10
542,546,542,545,532,555,search_limit_unresolved,return_crossing,0,0,10,28,2,M400-01-baseline-awake,10
276,290,285,287,275,297,return_crossing,return_crossing,1,0,10,29,1,M400-01-baseline-awake,10
137,151,137,142,127,152,search_limit_unresolved,return_crossing,0,0,10,30,1,M400-01-baseline-awake,10
139,150,141,143,131,153,return_crossing,return_crossing,1,0,10,31,1,M400-01-baseline-awake,10
142,145,142,145,132,155,search_limit_unresolved,search_limit_unresolved,0,0,10,32,1,M400-01-baseline-awake,10
137,147,138,147,128,157,return_crossing,search_limit_unresolved,0,1,10,33,1,M400-01-baseline-awake,10
156,165,159,161,149,171,return_crossing,return_crossing,1,0,10,34,1,M400-01-baseline-awake,10
209,222,212,218,202,228,return_crossing,return_crossing,1,0,10,34,2,M400-01-baseline-awake,10
256,265,258,264,248,274,return_crossing,return_crossing,1,0,10,34,3,M400-01-baseline-awake,10
349,379,356,374,346,384,return_crossing,return_crossing,1,0,10,34,4,M400-01-baseline-awake,10
576,580,577,579,567,589,return_crossing,return_crossing,1,0,10,34,5,M400-01-baseline-awake,10
179,187,180,184,170,194,return_crossing,return_crossing,1,0,10,35,1,M400-01-baseline-awake,10
182,193,183,189,173,199,return_crossing,return_crossing,1,0,10,36,1,M400-01-baseline-awake,10
192,198,193,196,183,206,return_crossing,return_crossing,1,0,10,37,1,M400-01-baseline-awake,10
192,196,194,196,184,206,return_crossing,search_limit_unresolved,0,0,10,38,1,M400-01-baseline-awake,10
426,434,426,428,416,438,search_limit_unresolved,return_crossing,0,0,10,38,2,M400-01-baseline-awake,10
449,464,449,454,439,464,search_limit_unresolved,return_crossing,0,0,10,39,1,M400-01-baseline-awake,10
207,213,209,211,199,221,return_crossing,return_crossing,1,0,10,40,1,M400-01-baseline-awake,10
223,234,232,234,222,244,return_crossing,search_limit_unresolved,0,0,10,41,1,M400-01-baseline-awake,10
277,291,280,290,270,300,return_crossing,return_crossing,1,0,10,42,1,M400-01-baseline-awake,10
395,408,398,404,388,414,return_crossing,return_crossing,1,0,10,42,2,M400-01-baseline-awake,10
