Session,SinkID,EventID,NativeStartFrame,NativeEndFrame,StartFrame,EndFrame,DurationSec,TimingSearchStartFrame,TimingSearchEndFrame,TimingMaxExtensionFrames,StartBoundaryStatus,EndBoundaryStatus,TimingResolved,NativeTraceCrossesReturnLevel,BaselineStatus,BaselineValidSamples,NormOxySinkAmp,EventArea_um2
M400-03-baseline-iso,6,3,231,233,231,233,3,211,253,20,seed_not_below_return_level,seed_not_below_return_level,0,1,valid,20,0.0971992939786517,3218.91666666667
M400-03-baseline-iso,6,4,406,408,401,408,8,386,418,20,return_crossing,return_crossing,1,0,valid,20,0.056041873477123,5512.77083333333
M400-03-baseline-iso,6,5,428,430,422,431,10,419,450,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,17,NaN,8746.72916666667
M400-03-baseline-iso,7,1,18,20,17,21,5,1,40,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,16,NaN,5505.25
M400-03-baseline-iso,8,1,238,240,237,245,9,218,260,20,return_crossing,return_crossing,1,0,valid,20,0.0556106865450325,8806.89583333333
M400-03-baseline-iso,8,2,577,579,573,580,8,557,599,20,return_crossing,return_crossing,1,0,valid,20,0.0563445312858099,7287.6875
M400-03-baseline-iso,9,1,215,217,214,219,6,195,237,20,return_crossing,return_crossing,1,0,valid,20,0.081116345111433,6678.5
M400-03-baseline-iso,9,2,582,584,581,587,7,562,600,20,return_crossing,return_crossing,1,0,valid,20,0.0605844707504983,4482.41666666667
M400-03-baseline-iso,10,1,22,25,20,25,6,2,45,20,return_crossing,seed_not_below_return_level,0,1,insufficient_clean_prebaseline,19,NaN,4202.265625
M400-03-baseline-iso,10,2,216,219,216,219,4,196,239,20,return_crossing,return_crossing,1,0,valid,20,0.0376133976098448,6616.453125
M400-03-baseline-iso,11,1,24,26,23,36,14,4,46,20,return_crossing,return_crossing,1,0,valid,20,0.0431987526762661,5610.54166666667
M400-03-baseline-iso,12,1,25,27,24,38,15,5,47,20,return_crossing,return_crossing,1,0,valid,20,0.0552149208693139,3497.1875
M400-03-baseline-iso,13,1,32,38,28,42,15,12,58,20,return_crossing,return_crossing,1,0,valid,20,0.0474123151701159,5908.15178571429
M400-03-baseline-iso,14,1,33,35,25,37,13,13,55,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,19,NaN,6302.45833333333
M400-03-baseline-iso,14,2,171,174,165,189,25,151,194,20,return_crossing,return_crossing,1,0,valid,20,0.0364524861063864,4771.96875
M400-03-baseline-iso,15,1,185,187,181,188,8,165,207,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,16,NaN,6934.20833333333
M400-03-baseline-iso,15,2,351,354,350,359,10,331,374,20,return_crossing,return_crossing,1,0,valid,20,0.0569242693066956,3688.96875
M400-03-baseline-iso,16,1,524,526,517,528,12,504,546,20,return_crossing,return_crossing,1,0,valid,20,0.0604304851878216,3963.47916666667
M400-03-baseline-iso,17,1,89,100,88,106,19,69,120,20,return_crossing,return_crossing,1,0,valid,20,0.0491336651729021,5074.68229166667
M400-03-baseline-iso,18,1,326,331,320,341,22,306,351,20,return_crossing,return_crossing,1,0,valid,20,0.0471403348800084,14778.4375
M400-03-baseline-iso,19,1,43,45,42,47,6,23,65,20,return_crossing,return_crossing,1,0,valid,20,0.0292756472370211,2880.47916666667
M400-03-baseline-iso,20,1,46,48,46,54,9,26,68,20,return_crossing,return_crossing,1,0,valid,20,0.0153584653675712,7926.95833333333
M400-03-baseline-iso,20,2,205,207,202,211,10,185,227,20,return_crossing,return_crossing,1,0,valid,20,0.043196895180454,3121.14583333333
M400-03-baseline-iso,20,3,271,273,269,274,6,251,293,20,return_crossing,return_crossing,1,0,valid,20,0.0622911713572965,4001.08333333333
M400-03-baseline-iso,21,1,388,391,377,392,16,368,411,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,15,NaN,4991.953125
M400-03-baseline-iso,22,1,54,56,50,57,8,34,76,20,return_crossing,return_crossing,1,0,valid,20,0.0298584531178396,4708.04166666667
M400-03-baseline-iso,23,1,276,278,274,282,9,256,298,20,return_crossing,return_crossing,1,0,valid,20,0.0855458775885937,4098.85416666667
M400-03-baseline-iso,24,1,61,63,59,64,6,41,83,20,return_crossing,return_crossing,1,0,valid,20,0.0328842890870775,4294.39583333333
M400-03-baseline-iso,25,1,62,64,61,66,6,42,84,20,return_crossing,return_crossing,1,0,valid,20,0.0201150084099118,4384.64583333333
M400-03-baseline-iso,26,1,63,72,63,72,10,43,92,20,return_crossing,search_limit_unresolved,0,0,valid,20,0.0468733124527485,10965.375
M400-03-baseline-iso,26,2,267,269,267,272,6,247,289,20,return_crossing,return_crossing,1,0,valid,20,0.0570682559710156,4700.52083333333
