EventIndex,EventType,EventRow,SiteRow,NativeStartFrame,NativeEndFrame,NativeVolume,ProductionAmplitude,ProductionBaselineStatus
113,sink,61,12,507,511,2054,0.0855849908259791,valid
114,sink,62,13,45,47,2840,NaN,insufficient_clean_prebaseline
115,sink,63,13,49,51,3557,NaN,insufficient_clean_prebaseline
116,sink,64,13,60,62,1324,NaN,insufficient_clean_prebaseline
117,sink,65,13,67,76,7974,NaN,insufficient_clean_prebaseline
118,sink,66,13,107,109,3468,NaN,insufficient_clean_prebaseline
119,sink,67,13,190,192,2605,0.120322408160878,valid
120,sink,68,13,211,219,10368,NaN,insufficient_clean_prebaseline
121,sink,69,13,292,296,3836,NaN,insufficient_clean_prebaseline
122,sink,70,13,349,357,7410,NaN,insufficient_clean_prebaseline
123,sink,71,13,404,409,5042,0.185344500499615,valid
124,sink,72,13,462,465,3712,0.149218649379642,valid
125,sink,73,13,481,485,3472,NaN,insufficient_clean_prebaseline
126,sink,74,13,502,505,1984,NaN,insufficient_clean_prebaseline
127,sink,75,13,513,515,1472,NaN,insufficient_clean_prebaseline
128,sink,76,13,546,550,5506,0.14176992129805,valid
129,sink,77,13,572,575,4217,0.0973758006052504,valid
130,sink,78,14,49,55,2634,NaN,insufficient_clean_prebaseline
131,sink,79,14,234,240,3482,NaN,insufficient_clean_prebaseline
132,sink,80,15,54,56,2559,0.062963881105158,valid
133,sink,81,15,59,63,4883,NaN,insufficient_clean_prebaseline
134,sink,82,15,70,77,3904,NaN,insufficient_clean_prebaseline
135,sink,83,15,79,85,2165,NaN,insufficient_clean_prebaseline
136,sink,84,15,131,147,6895,NaN,insufficient_clean_prebaseline
137,sink,85,15,155,202,26570,NaN,insufficient_clean_prebaseline
138,sink,86,15,208,215,2303,NaN,insufficient_clean_prebaseline
139,sink,87,15,256,266,2831,0.0958325873116633,valid
140,sink,88,15,292,294,586,0.0680232453320031,valid
141,sink,89,15,297,306,4530,NaN,insufficient_clean_prebaseline
142,sink,90,15,308,337,16122,NaN,insufficient_clean_prebaseline
143,sink,91,15,341,344,828,NaN,insufficient_clean_prebaseline
144,sink,92,15,348,350,683,NaN,insufficient_clean_prebaseline
145,sink,93,15,354,389,33566,NaN,insufficient_clean_prebaseline
146,sink,94,15,416,418,563,0.0568934200503898,valid
147,sink,95,15,440,442,906,NaN,insufficient_clean_prebaseline
148,sink,96,15,467,477,13917,NaN,insufficient_clean_prebaseline
149,sink,97,15,479,488,10794,NaN,insufficient_clean_prebaseline
150,sink,98,15,490,510,6414,NaN,insufficient_clean_prebaseline
151,sink,99,15,515,533,21021,NaN,insufficient_clean_prebaseline
152,sink,100,15,577,581,1149,0.0500884359870451,valid
153,sink,101,16,52,55,970,0.100786440901522,valid
154,sink,102,16,62,66,871,NaN,insufficient_clean_prebaseline
155,sink,103,16,71,77,1733,NaN,insufficient_clean_prebaseline
156,sink,104,16,113,115,1151,0.0458668063417268,valid
157,sink,105,16,264,266,1126,0.0743133686487023,valid
158,sink,106,16,299,301,820,0.0594898235779252,valid
159,sink,107,16,318,320,905,NaN,insufficient_clean_prebaseline
160,sink,108,16,324,333,2771,NaN,insufficient_clean_prebaseline
161,sink,109,16,338,340,1405,NaN,insufficient_clean_prebaseline
162,sink,110,16,483,485,1378,0.0944162557735794,valid
163,sink,111,16,537,542,1178,0.0728090886698026,valid
164,sink,112,16,556,558,1067,NaN,insufficient_clean_prebaseline
165,sink,113,17,54,56,1171,0.0763427246351447,valid
166,sink,114,18,71,76,1147,0.0327142868379862,valid
167,sink,115,18,485,489,1597,0.0780735591633277,valid
168,sink,116,18,491,512,5653,NaN,insufficient_clean_prebaseline
169,sink,117,19,72,74,1097,0.0522669194199679,valid
170,sink,118,19,505,530,15962,0.10083419675354,valid
171,sink,119,19,553,557,2083,NaN,insufficient_clean_prebaseline
172,sink,120,20,78,80,519,0.0467981120074984,valid
173,sink,121,21,81,86,1061,0.0214205186020296,valid
174,sink,122,21,90,98,3845,NaN,insufficient_clean_prebaseline
175,sink,123,22,87,89,787,0.0463583553464757,valid
176,sink,124,22,234,236,882,0.1458336979187,valid
177,sink,125,22,241,243,975,NaN,insufficient_clean_prebaseline
178,sink,126,22,439,444,3962,0.0685284334087758,valid
179,sink,127,22,493,495,426,0.107205526194174,valid
180,sink,128,22,498,502,1244,NaN,insufficient_clean_prebaseline
181,sink,129,22,510,514,1163,NaN,insufficient_clean_prebaseline
182,sink,130,22,525,528,2030,NaN,insufficient_clean_prebaseline
183,sink,131,22,530,545,10623,NaN,insufficient_clean_prebaseline
184,sink,132,22,549,551,1562,NaN,insufficient_clean_prebaseline
185,sink,133,23,96,104,2563,NaN,insufficient_clean_prebaseline
186,sink,134,23,116,119,906,NaN,insufficient_clean_prebaseline
187,sink,135,23,146,153,2252,0.0896255792814304,valid
188,sink,136,23,195,197,860,0.0733559356972328,valid
189,sink,137,23,201,205,1308,NaN,insufficient_clean_prebaseline
190,sink,138,23,248,253,1369,0.0702136769241781,valid
191,sink,139,23,540,542,505,0.097923384227716,valid
192,sink,140,24,449,461,6765,0.0847525658198724,valid
193,sink,141,25,102,105,1065,NaN,insufficient_clean_prebaseline
194,sink,142,25,542,545,1828,0.0296406961705512,valid
195,sink,143,26,285,287,413,0.0758581846208571,valid
196,sink,144,27,120,124,2273,0.037878081268674,valid
197,sink,145,27,129,131,1085,NaN,insufficient_clean_prebaseline
198,sink,146,27,137,142,1024,NaN,insufficient_clean_prebaseline
199,sink,147,28,141,143,552,0.0580460263718182,valid
200,sink,148,29,143,145,483,0.0307912033356235,valid
201,sink,149,30,138,147,4290,NaN,insufficient_clean_prebaseline
202,sink,150,30,150,153,1621,NaN,insufficient_clean_prebaseline
203,sink,151,31,183,189,1723,0.0712695907166585,valid
204,sink,152,32,188,193,1446,NaN,insufficient_clean_prebaseline
205,sink,153,32,212,218,2223,NaN,insufficient_clean_prebaseline
206,sink,154,32,258,264,2836,NaN,insufficient_clean_prebaseline
207,sink,155,32,272,276,1590,NaN,insufficient_clean_prebaseline
208,sink,156,32,357,373,3426,NaN,insufficient_clean_prebaseline
209,sink,157,33,193,195,579,0.0846158381980071,valid
210,sink,158,34,208,211,1977,0.0726368895746252,valid
211,sink,159,35,452,454,869,0.0918123699140889,valid
212,sink,160,35,458,462,1478,NaN,insufficient_clean_prebaseline
213,sink,161,36,232,234,712,0.109283309123975,valid
214,sink,162,37,280,290,5110,0.0565797518466758,valid
215,sink,163,37,398,404,2461,0.129322141742715,valid
216,sink,164,37,438,441,1150,NaN,insufficient_clean_prebaseline
217,sink,165,37,461,463,610,NaN,insufficient_clean_prebaseline
218,sink,166,37,572,574,659,0.105212817801109,valid
219,sink,167,38,266,279,10282,0.0557669055413018,valid
220,sink,168,39,297,311,5694,0.0675929312089202,valid
221,sink,169,39,317,320,753,NaN,insufficient_clean_prebaseline
222,sink,170,39,326,328,506,NaN,insufficient_clean_prebaseline
223,sink,171,39,338,340,417,NaN,insufficient_clean_prebaseline
224,sink,172,40,351,358,2532,0.161148865127349,valid
225,sink,173,41,308,310,477,0.0872804683342201,valid
226,sink,174,42,339,341,1065,0.0887034481012018,valid
227,sink,175,43,374,376,648,0.0558526356600142,valid
228,sink,176,44,398,402,2225,NaN,insufficient_clean_prebaseline
229,sink,177,44,409,412,1748,NaN,insufficient_clean_prebaseline
230,sink,178,44,417,419,3953,NaN,insufficient_clean_prebaseline
231,sink,179,44,421,428,7269,NaN,insufficient_clean_prebaseline
232,sink,180,44,431,436,1888,NaN,insufficient_clean_prebaseline
233,sink,181,45,404,406,445,0.108104597920311,valid
234,sink,182,46,426,428,879,NaN,insufficient_clean_prebaseline
235,sink,183,47,456,458,518,NaN,insufficient_clean_prebaseline
236,sink,184,48,468,470,552,0.0814306681405942,valid
237,sink,185,49,512,514,1235,NaN,insufficient_clean_prebaseline
238,sink,186,50,512,520,2680,0.114160934623647,valid
239,sink,187,50,530,532,468,NaN,insufficient_clean_prebaseline
240,sink,188,50,534,547,4751,NaN,insufficient_clean_prebaseline
241,sink,189,50,549,567,8928,NaN,insufficient_clean_prebaseline
