Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineSlopePerSecOverFitMedian,PostSlopePerSecOverFitMedian,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,Case,EventRow,TraceKind,LocalRow,IsPreselectedMatch,NativeStartFrame,NativeEndFrame,StoredAmplitude,StoredBaselineStatus,OnsetOffsetFromImposedStart,NativeBaselineImposedFraction,ProposedBaselineImposedFraction,ProposedBaselinePositiveFrames,CounterfactualPeakFraction,BaselineEffectPercentagePoints
overlapping_detection_in_fit,NaN,NaN,181,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,33,constructed,98,0,241,254,0.0562483219474357,valid,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,181,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,33,source,98,0,241,254,0.0562483219474357,valid,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,181,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,34,constructed,101,0,241,252,0.0475146609354352,valid,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,181,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,34,source,101,0,241,252,0.0475146609354352,valid,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,182,246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,35,constructed,104,0,242,253,0.0275436791337505,valid,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,182,246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,35,source,104,0,242,253,0.0275436791337505,valid,NaN,NaN,NaN,NaN,NaN,NaN
insufficient_improvement,NaN,239,183,247,0.0480320919212431,236,242,6,-0.00130136025335296,0.0136434093072803,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,36,constructed,107,0,243,253,0.0951633172090635,valid,NaN,0,NaN,NaN,NaN,NaN
insufficient_improvement,NaN,239,183,247,0.0480320919212431,236,242,6,-0.00130136025335296,0.0136434093072803,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,36,source,107,0,243,253,0.0951633172090635,valid,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,271,335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,37,constructed,110,0,331,347,0.0583029306188727,valid,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,271,335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,37,source,110,0,331,347,0.0583029306188727,valid,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,185,249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,38,constructed,113,0,245,254,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,185,249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,38,source,113,0,245,254,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,224,288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,39,constructed,116,0,284,294,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,224,288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,39,source,116,0,284,294,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,241,305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,40,constructed,119,0,301,310,0.0306176623114266,valid,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,241,305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,40,source,119,0,301,310,0.0306176623114266,valid,NaN,NaN,NaN,NaN,NaN,NaN
insufficient_improvement,NaN,302,260,324,5.08484514513512,299,316,17,-0.000627704175258137,0.00077249246635164,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,41,constructed,122,0,320,332,0.0380916087601034,valid,NaN,0,NaN,NaN,NaN,NaN
insufficient_improvement,NaN,302,260,324,5.08484514513512,299,316,17,-0.000627704175258137,0.00077249246635164,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,41,source,122,0,320,332,0.0380916087601034,valid,NaN,NaN,NaN,NaN,NaN,NaN
insufficient_improvement,NaN,320,265,329,0.410785322577897,316,323,7,-0.000515633011180677,0.00183507582289543,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,42,constructed,125,0,325,338,0.0410209548783405,valid,NaN,0,NaN,NaN,NaN,NaN
insufficient_improvement,NaN,320,265,329,0.410785322577897,316,323,7,-0.000515633011180677,0.00183507582289543,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,42,source,125,0,325,338,0.0410209548783405,valid,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,322,386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,43,constructed,128,0,382,393,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,322,386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,43,source,128,0,382,393,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
resolved,357,357,330,394,72.588227989986,356,358,2,-0.00521670658970985,0.00292861295338698,337,356,91.5259660883281,0.0468663867560983,provisional_valid,M400-01-baseline-awake,growing_clean,44,constructed,131,0,390,400,0.0222813650780695,valid,NaN,0,0,0,0.0468663867560983,0
resolved,357,357,330,394,72.588227989986,356,358,2,-0.00521670658970985,0.00292861295338698,337,356,91.5259660883281,0.0468663867560983,provisional_valid,M400-01-baseline-awake,growing_clean,44,source,131,0,390,400,0.0222813650780695,valid,NaN,NaN,NaN,NaN,NaN,NaN
not_a_rising_change,NaN,381,355,419,29.3965691018596,377,392,15,0.00246078975306056,-0.0012354265814547,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,45,constructed,134,0,415,430,0.036229828642122,valid,NaN,0,NaN,NaN,NaN,NaN
