Session,Kind,EventRow,CurrentStart,CurrentEnd,NativeStart,NativeEnd,CurrentAmplitude,NativeWindowAmplitude,CurrentStatus,NativeWindowStatus
M400-01-baseline-awake,sink,108,235,266,258,264,NaN,0.11517947561921,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,109,348,380,356,374,NaN,0.108053699747452,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,110,575,581,577,579,0.0791633097603916,0.0723468992055366,valid,valid
M400-01-baseline-awake,sink,111,178,188,180,184,0.0577222170433861,0.0546871385355665,valid,valid
M400-01-baseline-awake,sink,112,181,194,183,189,0.0656568942992576,0.0637129061997468,valid,valid
M400-01-baseline-awake,sink,113,191,199,193,196,0.0668495735486285,0.0660200623883401,valid,valid
M400-01-baseline-awake,sink,114,185,209,194,196,0.0798000445244988,0.0699805478908474,valid,valid
M400-01-baseline-awake,sink,115,408,435,426,428,NaN,0.0169771757994491,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,116,432,471,449,454,0.0847501245904854,0.0584213307670407,valid,valid
M400-01-baseline-awake,sink,117,205,218,209,211,0.0732586805342622,0.0727696649895694,valid,valid
M400-01-baseline-awake,sink,118,222,257,232,234,0.111499553089794,0.0899013882143095,valid,valid
M400-01-baseline-awake,sink,119,276,307,280,290,0.0556979566917498,0.054203974666958,valid,valid
M400-01-baseline-awake,sink,120,394,409,398,404,0.131886680926004,0.0733082160602039,valid,valid
M400-01-baseline-awake,sink,121,430,465,438,441,0.0592166979362099,0.0574624404135163,valid,valid
M400-01-baseline-awake,sink,122,430,465,461,463,0.0631414203612477,NaN,valid,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,123,567,577,572,574,0.100320834739612,0.111977170287659,valid,valid
M400-01-baseline-awake,sink,124,256,287,269,279,0.0531944699815256,0.0560736548422188,valid,valid
M400-01-baseline-awake,sink,125,294,352,297,311,0.0791757232640821,0.0600593018320356,valid,valid
M400-01-baseline-awake,sink,126,296,312,307,309,0.0788377013328394,NaN,valid,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,127,333,361,351,358,NaN,0.148548557609929,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,128,330,350,339,341,0.08578918613117,0.0817769233577087,valid,valid
M400-01-baseline-awake,sink,129,354,375,370,372,0.126931384685904,NaN,valid,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,130,396,436,421,428,NaN,0.000686004429319714,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,131,393,416,404,406,0.110236307298731,0.108748075511679,valid,valid
M400-01-baseline-awake,sink,132,403,418,411,413,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,133,403,427,412,414,0.11255639021178,0.0521163825967189,valid,valid
M400-01-baseline-awake,sink,134,453,469,456,458,0.0875292880026777,0.0859284717773083,valid,valid
M400-01-baseline-awake,sink,135,466,473,468,470,0.0730268039459844,0.0712244128628065,valid,valid
M400-01-baseline-awake,sink,136,485,500,488,490,0.100071451078201,0.102616299653048,valid,valid
M400-01-baseline-awake,sink,137,534,568,549,567,0.0330715678218599,0.0330330366592985,valid,valid
M400-01-baseline-awake,surge,1,138,156,138,156,0.0166498274681453,0.0166498274681453,valid,valid
M400-01-baseline-awake,surge,2,241,254,241,254,0.0438686349581543,0.0438686349581543,valid,valid
M400-01-baseline-awake,surge,3,330,345,330,345,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,4,432,459,432,459,0.0352694563934713,0.0352694563934713,valid,valid
M400-01-baseline-awake,surge,5,138,169,138,169,0.018880942130858,0.018880942130858,valid,valid
M400-01-baseline-awake,surge,6,174,188,174,188,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,7,369,396,369,396,0.0478136897541871,0.0478136897541871,valid,valid
M400-01-baseline-awake,surge,8,590,600,590,600,0.00818385764185148,0.00818385764185148,valid,valid
M400-01-baseline-awake,surge,9,27,36,27,36,0.0149941682829049,0.0149941682829049,valid,valid
M400-01-baseline-awake,surge,10,123,148,123,148,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,11,200,214,200,214,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,12,240,260,240,260,0.0349442300429217,0.0349442300429217,valid,valid
M400-01-baseline-awake,surge,13,291,301,291,301,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,14,308,318,308,318,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,15,321,330,321,330,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,16,375,387,375,387,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,17,390,399,390,399,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,18,437,447,437,447,0.0236912035217579,0.0236912035217579,valid,valid
M400-01-baseline-awake,surge,19,542,555,542,555,0.0415110215448344,0.0415110215448344,valid,valid
M400-01-baseline-awake,surge,20,170,186,170,186,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,21,196,209,196,209,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,22,324,334,324,334,0.0372407996936797,0.0372407996936797,valid,valid
M400-01-baseline-awake,surge,23,392,403,392,403,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,24,442,452,442,452,0.0199825224547227,0.0199825224547227,valid,valid
M400-01-baseline-awake,surge,25,534,544,534,544,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,26,199,208,199,208,0.0286350022772,0.0286350022772,valid,valid
M400-01-baseline-awake,surge,27,389,398,389,398,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,28,2,14,2,14,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,29,267,278,267,278,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,30,588,600,588,600,0.0232716529454267,0.0232716529454267,valid,valid
M400-01-baseline-awake,surge,31,122,131,122,131,0.0730516765015189,0.0730516765015189,valid,valid
M400-01-baseline-awake,surge,32,535,544,535,544,0.0393792448870846,0.0393792448870846,valid,valid
M400-01-baseline-awake,surge,33,144,153,144,153,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,34,174,185,174,185,0.126219293147134,0.126219293147134,valid,valid
M400-01-baseline-awake,surge,35,447,456,447,456,0.102437473483409,0.102437473483409,valid,valid
M400-01-baseline-awake,surge,36,55,64,55,64,0.0541473688245907,0.0541473688245907,valid,valid
M400-01-baseline-awake,surge,37,41,50,41,50,0.0705758776224684,0.0705758776224684,valid,valid
M400-01-baseline-awake,surge,38,59,83,59,83,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,surge,39,59,74,59,74,0.0607340136691323,0.0607340136691323,valid,valid
M400-01-baseline-awake,surge,40,54,67,54,67,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-03-baseline-iso,sink,1,5,17,7,9,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-03-baseline-iso,sink,2,571,579,573,575,0.0401421947181095,0.0383231720923449,valid,valid
M400-03-baseline-iso,sink,3,25,43,39,43,0.0373452654641071,0.0282989474254594,valid,valid
M400-03-baseline-iso,sink,4,164,176,173,176,0.0507629754535058,0.0440967449136542,valid,valid
M400-03-baseline-iso,sink,5,246,251,246,248,0.049557046825658,0.049557046825658,valid,valid
M400-03-baseline-iso,sink,6,296,298,296,298,0.0467138795902232,0.0467138795902232,valid,valid
M400-03-baseline-iso,sink,7,351,361,356,360,0.0570868178928539,0.0410821133194351,valid,valid
M400-03-baseline-iso,sink,8,499,505,501,503,0.0693298171932737,0.0655956068022653,valid,valid
M400-03-baseline-iso,sink,9,565,569,565,569,0.0580871580437048,0.0580871580437048,valid,valid
M400-03-baseline-iso,sink,10,9,13,11,13,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
