RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Condition,NativeFilteredMean,NativeZMean,RawExtremeFrame,RawChangeAtExtremePercent,CubicTrendContributionPercent,ResidualContributionPercent,DetrendedChangeAtRawExtreme,SpatialZChangeAtRawExtreme,TemporalZChangeAtRawExtreme,SourceRawSHA256
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,5,5,32,1032,1059,1051,1058,1525,20,20,0,0,0,6252.44895081967,6252.44895081967,valid,valid,0.112218392506799,0.112218392506799,0,1,0,Awake_immobile,-0.351321155337776,-0.387189347808205,1052,-11.2218392506799,-1.55418022336507,-9.66765902731479,-604.465446825371,-0.709218455175637,-0.405122175631286,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,5,6,33,1138,1150,1140,1142,525,20,20,0,0,0,6833.31961904762,6833.31961904762,valid,valid,0.0556245855043947,0.0556245855043947,0,1,0,Awake_immobile,-0.267278739980289,-0.348015192971347,1142,-5.56245855043947,-0.424325342253704,-5.13813320818576,-351.105067243304,-0.657677026975374,-0.355358315910567,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,5,7,34,1173,1183,1180,1183,352,20,20,0,0,0,6806.26221590909,6806.26221590909,valid,valid,0.108913445058931,0.108913445058931,0,1,0,Awake_immobile,-0.425592625026845,-0.511087016018047,1182,-10.8913445058931,-0.351971109704187,-10.5393733961889,-717.337384414673,-1.31444855047765,-0.688621013650719,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,6,1,35,28,62,30,32,262,20,20,0,0,0,5521.78396946565,5521.78396946565,valid,valid,0.0308026350041481,0.0308026350041481,0,1,0,Awake_immobile,-0.38841530248409,-0.494057209032565,31,-3.08026350041481,2.99910543606033,-6.07936893647512,-335.689620948384,-1.11212900841937,-0.652791727317612,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,6,2,36,63,86,68,73,1172,20,20,0,0,0,5357.37209897611,5357.37209897611,valid,valid,0.0670553945146653,0.0670553945146653,0,1,0,Awake_immobile,-0.469129085974647,-0.535110958445302,70,-6.70553945146653,3.22420878033661,-9.92974823180312,-531.973555841544,-1.1388324593298,-0.702045192992492,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,6,3,37,194,323,206,209,612,20,20,0,0,0,6521.4183006536,6521.4183006536,valid,valid,0.0451691610450032,0.0451691610450032,0,1,0,Awake_immobile,-0.651488344824197,-0.782447021417075,205,-4.51691610450032,2.22512405346396,-6.74204015796428,-439.67664382037,-0.744633772424386,-0.44988909200411,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,7,1,38,503,584,522,524,199,20,20,0,0,0,7055.66407035176,7055.66407035176,valid,valid,0.104510033512047,0.104510033512047,0,1,0,Awake_immobile,-0.483615624095926,-0.689686049694559,581,-10.4510033512047,0.0442708191152115,-10.4952741703199,-740.511291871957,-1.18133140959401,-0.68298903323383,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,7,2,39,893,910,899,902,292,20,20,0,0,0,8474.41455479452,8474.41455479452,valid,valid,0.0657660697093048,0.0657660697093048,0,1,0,Awake_immobile,-0.319017767574485,-0.417001212527258,901,-6.57660697093048,-0.817021689373003,-5.75958528155749,-488.091135019799,-0.891580714390058,-0.460222296335813,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,7,3,40,1009,1022,1011,1014,376,20,20,0,0,0,7213.37965425532,7213.37965425532,valid,valid,0.0747686198897347,0.0747686198897347,0,1,0,Awake_immobile,-0.427366951232816,-0.498940261925627,1014,-7.47686198897347,-0.607641565221924,-6.86922042375154,-495.502943030824,-0.875136980660916,-0.471555618552907,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,8,1,41,26,43,32,34,2062,20,20,0,0,0,3285.27895247333,3285.27895247333,valid,valid,0.00109860209961084,0.00109860209961084,0,1,0,Awake_immobile,-0.362273293704209,-0.396935139054665,31,-0.109860209961084,3.8568549957456,-3.9667152057067,-130.317656499824,-0.490587142457846,-0.352560573177136,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
