Session,Kind,EventRow,StartFrame,BaselineStatus,TruncatedWindow,OwnEventOverlapFrames,OtherSameSignOverlapFrames,OppositeSignOverlapFrames,ReconstructedCleanFrames
M401-01-baseline-awake,Sink,81,557,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,82,205,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,83,225,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,84,240,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,85,324,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,86,439,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,87,347,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,88,404,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,89,429,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,90,559,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,91,428,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,92,577,valid,0,0,0,0,20
M401-01-baseline-awake,Surge,1,4,insufficient_clean_prebaseline,1,0,0,0,3
M401-03-baseline-iso,Sink,1,1,insufficient_clean_prebaseline,1,0,0,0,0
M401-03-baseline-iso,Sink,2,217,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,3,24,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,4,240,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,5,245,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,6,280,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,7,306,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,8,11,insufficient_clean_prebaseline,1,0,0,0,10
M401-03-baseline-iso,Sink,9,35,insufficient_clean_prebaseline,0,0,1,0,19
M401-03-baseline-iso,Sink,10,255,insufficient_clean_prebaseline,0,0,2,0,18
M401-03-baseline-iso,Sink,11,18,insufficient_clean_prebaseline,1,0,0,0,17
M401-03-baseline-iso,Sink,12,8,insufficient_clean_prebaseline,1,0,0,0,7
M401-03-baseline-iso,Sink,13,265,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,14,19,insufficient_clean_prebaseline,1,0,0,0,18
M401-03-baseline-iso,Sink,15,232,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,16,234,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,17,33,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,18,530,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,19,38,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,20,44,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,21,115,valid,0,0,0,0,20
M401-03-baseline-iso,Sink,22,56,valid,0,0,0,0,20
