RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Session,Case
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,27,1,36,243,253,243,253,2225,20,20,0,0,0,67.6301573033708,67.6301573033708,valid,valid,0.0951633172090635,0.0951633172090635,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,27,2,37,331,347,331,347,2607,20,20,0,0,0,73.134944380514,73.134944380514,valid,valid,0.0583029306188727,0.0583029306188727,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,28,1,38,245,254,245,254,2685,20,17,0,3,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,29,1,39,284,294,284,294,4255,20,6,0,14,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,30,1,40,301,310,301,310,1881,20,20,0,0,0,86.3178096757044,86.3178096757044,valid,valid,0.0306176623114266,0.0306176623114266,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,31,1,41,320,332,320,332,1496,20,20,0,0,0,91.6512366310161,91.6512366310161,valid,valid,0.0380916087601034,0.0380916087601034,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,32,1,42,325,338,325,338,2026,20,20,0,0,0,122.423766041461,122.423766041461,valid,valid,0.0410209548783405,0.0410209548783405,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,33,1,43,382,393,382,393,1732,20,19,0,1,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,34,1,44,390,400,390,400,2536,20,20,0,0,0,93.7270899053628,93.7270899053628,valid,valid,0.0222813650780695,0.0222813650780695,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,35,1,45,415,430,415,430,1726,20,20,0,0,0,114.691222479722,114.691222479722,valid,valid,0.036229828642122,0.036229828642122,0,1,0,M400-01-baseline-awake,growing_clean
