Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,EventRow,LocalRow,Context,NativeStartFrame,NativeEndFrame,TemplateRiseSec,TemplatePlateauSec,TemplateRecoverySec,TemplateShape,PulseCoefficientOverFitMedian
insufficient_improvement,NaN,508,476,540,-9.59098492425612,497,509,12,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,11,32,pulse,536,545,2,40,2,linear,0.032031464269389
insufficient_clean_context,NaN,NaN,558,573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,12,35,pulse,569,582,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,1,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,1,2,pulse,1,18,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,192,144,208,7.10857057822331,189,193,4,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,2,5,pulse,204,213,5,5,10,linear,0.0207734094093183
insufficient_improvement,NaN,362,342,406,-12.5417210728379,362,363,1,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,3,8,pulse,402,413,2,0,45,linear,0.0143202010083027
insufficient_improvement,NaN,459,414,475,-6.4802819400823,457,460,3,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,4,11,pulse,471,490,2,10,2,linear,0.0141842498647142
insufficient_clean_context,NaN,NaN,491,498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,5,14,pulse,494,503,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,524,504,535,1.23483213603944,524,527,3,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,6,17,pulse,531,552,5,0,5,sine_squared,0.01995434602719
insufficient_improvement,NaN,617,581,645,-13.2523643461666,614,637,23,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,7,20,pulse,641,650,2,20,5,sine_squared,0.0127964230844766
insufficient_clean_context,NaN,NaN,1,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,8,23,pulse,1,23,NaN,NaN,NaN,unassessed,NaN
