Session,Context,AmplitudeFraction,RiseFrames,Shape,DelayFrames,Planned,Constructible,Resolved,WithinFiveSec,BaselineUnderOnePercent,WithinFiveSecAndClean,AvailableAmplitudes,SameOnsetAsControl,ResolvedFraction,WithinFiveSecFractionAll,WithinFiveSecFractionResolved,MedianOnsetErrorSec,MedianBaselineImposedFraction,MedianBaselineEffectPP,MedianAbsoluteErrorSec,P90AbsoluteErrorSec
M401-01-baseline-awake,fixed,0.02,5,sine_squared,10,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.02,5,sine_squared,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.05,15,linear,10,12,12,2,1,2,1,2,0,0.16666666666666666,0.08333333333333333,0.5,-9.5,0.001226132248939525,-0.1326503036296,14.5,22.1
M401-01-baseline-awake,fixed,0.05,15,linear,25,12,12,3,0,3,0,3,0,0.25,0.0,0.0,-11.0,0.0,0.0,11.0,12.6
M401-01-baseline-awake,fixed,0.05,15,sine_squared,10,12,12,3,2,3,2,3,0,0.25,0.16666666666666666,0.6666666666666666,4.0,0.000781936855484,-0.0851601921208145,5.0,20.200000000000003
M401-01-baseline-awake,fixed,0.05,15,sine_squared,25,12,12,3,0,3,0,3,0,0.25,0.0,0.0,-10.0,0.0,0.0,10.0,12.4
M401-01-baseline-awake,fixed,0.05,30,linear,10,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.05,30,linear,25,12,12,3,0,3,0,3,0,0.25,0.0,0.0,-10.0,0.0,0.0,10.0,11.6
M401-01-baseline-awake,fixed,0.05,30,sine_squared,10,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.05,30,sine_squared,25,12,12,2,0,2,0,2,0,0.16666666666666666,0.0,0.0,-10.0,0.0,0.0,10.0,10.8
M401-01-baseline-awake,fixed,0.05,5,linear,10,12,12,2,0,2,0,2,0,0.16666666666666666,0.0,0.0,-15.0,0.0,0.0,15.0,22.2
M401-01-baseline-awake,fixed,0.05,5,linear,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.05,5,sine_squared,10,12,12,2,0,2,0,2,0,0.16666666666666666,0.0,0.0,-15.0,0.0,0.0,15.0,22.2
M401-01-baseline-awake,fixed,0.05,5,sine_squared,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.1,15,linear,10,12,12,5,5,5,5,5,0,0.4166666666666667,0.4166666666666667,1.0,-2.0,0.0,0.0,2.0,3.2
M401-01-baseline-awake,fixed,0.1,15,linear,25,12,12,4,0,4,0,4,0,0.3333333333333333,0.0,0.0,-9.0,0.0,0.0,9.0,10.4
M401-01-baseline-awake,fixed,0.1,15,sine_squared,10,12,12,5,5,5,5,5,0,0.4166666666666667,0.4166666666666667,1.0,3.0,0.000736491448694032,-0.0854357196137467,3.0,3.6
M401-01-baseline-awake,fixed,0.1,15,sine_squared,25,12,12,4,0,4,0,4,0,0.3333333333333333,0.0,0.0,-9.0,0.0,0.0,9.0,9.7
M401-01-baseline-awake,fixed,0.1,30,linear,10,12,12,2,1,2,1,2,0,0.16666666666666666,0.08333333333333333,0.5,-9.5,0.001226132248939525,-0.1347558640046765,14.5,22.1
M401-01-baseline-awake,fixed,0.1,30,linear,25,12,12,5,2,5,2,5,0,0.4166666666666667,0.16666666666666666,0.4,-7.0,0.0,0.0,7.0,9.2
M401-01-baseline-awake,fixed,0.1,30,sine_squared,10,12,12,1,0,1,0,1,0,0.08333333333333333,0.0,0.0,6.0,0.00119883246827301,-0.133001860592152,6.0,6.0
M401-01-baseline-awake,fixed,0.1,30,sine_squared,25,12,12,5,1,5,1,5,0,0.4166666666666667,0.08333333333333333,0.2,1.0,1.3598233894685e-05,-0.00156839215188498,6.0,7.2
M401-01-baseline-awake,fixed,0.1,5,linear,10,12,12,5,5,5,5,5,0,0.4166666666666667,0.4166666666666667,1.0,-4.0,0.0,0.0,4.0,4.6
M401-01-baseline-awake,fixed,0.1,5,linear,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.1,5,sine_squared,10,12,12,5,5,5,5,5,0,0.4166666666666667,0.4166666666666667,1.0,-4.0,0.0,0.0,4.0,4.6
M401-01-baseline-awake,fixed,0.1,5,sine_squared,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.2,15,linear,10,12,12,5,5,5,5,5,0,0.4166666666666667,0.4166666666666667,1.0,0.0,0.0,0.0,1.0,2.0
M401-01-baseline-awake,fixed,0.2,15,linear,25,12,12,5,0,5,0,5,0,0.4166666666666667,0.0,0.0,-8.0,0.0,0.0,8.0,8.0
M401-01-baseline-awake,fixed,0.2,15,sine_squared,10,12,12,5,5,5,5,5,0,0.4166666666666667,0.4166666666666667,1.0,2.0,0.000536047046478361,-0.0678142500811996,2.0,2.6
M401-01-baseline-awake,fixed,0.2,15,sine_squared,25,12,12,5,0,5,0,5,0,0.4166666666666667,0.0,0.0,-7.0,0.0,0.0,7.0,8.0
M401-01-baseline-awake,fixed,0.2,30,linear,10,12,12,5,5,5,5,5,0,0.4166666666666667,0.4166666666666667,1.0,-2.0,0.0,0.0,2.0,3.2
M401-01-baseline-awake,fixed,0.2,30,linear,25,12,12,5,4,5,4,5,0,0.4166666666666667,0.3333333333333333,0.8,-2.0,0.0,0.0,2.0,6.2
M401-01-baseline-awake,fixed,0.2,30,sine_squared,10,12,12,5,3,5,3,5,0,0.4166666666666667,0.25,0.6,5.0,0.00147387744837713,-0.168157630459942,5.0,7.800000000000001
M401-01-baseline-awake,fixed,0.2,30,sine_squared,25,12,12,5,4,5,4,5,0,0.4166666666666667,0.3333333333333333,0.8,2.0,0.000133975205827808,-0.0168810569325828,2.0,5.6
M401-01-baseline-awake,fixed,0.2,5,linear,10,12,12,5,5,5,5,5,0,0.4166666666666667,0.4166666666666667,1.0,-4.0,0.0,0.0,4.0,4.6
M401-01-baseline-awake,fixed,0.2,5,linear,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.2,5,sine_squared,10,12,12,5,5,5,5,5,0,0.4166666666666667,0.4166666666666667,1.0,-4.0,0.0,0.0,4.0,4.6
M401-01-baseline-awake,fixed,0.2,5,sine_squared,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
