Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,BaselineAboveOnePercent,NegativeRawAmplitude
ID13-20200917,66,additional,selection,1039,1048,resolved,1017,985,1043,997,1016,9.79963649944451,0.119226675371852,provisional_valid,24.7084267614052,18.8385290413939,18.8385290413939,pulse,resolved,NaN,NaN,1,0.2,7,exponential,25,1014,1,0,3,1,0.182911777441693,-18.1584857776453,0.0160461329256187,-1.79592600069149,3,0,0,0,NaN,1,0
ID13-20200917,66,additional,selection,1039,1048,resolved,1019,985,1043,999,1018,9.72030025347177,0.0510970209528245,provisional_valid,27.9916022042355,35.1614098391404,35.1614098391404,pulse,resolved,NaN,NaN,1,0.2,7,quadratic,25,1014,1,0,5,1,0.164661428377449,-15.4659630457778,0.0103585189834106,-1.0887808444946,5,0,0,0,NaN,1,0
ID13-20200917,66,additional,selection,1039,1048,resolved,1026,985,1043,1006,1025,9.63699339923766,0.227141200923984,provisional_valid,16.6788249597357,7.66732965783059,16.6788249597357,rising,resolved,NaN,NaN,1,0.2,23,quadratic,25,1014,1,0,12,0,0.100720382060973,-11.5861394737329,0.0121453583033511,-1.49040695740263,12,0,0,0,NaN,1,0
ID13-20200917,85,additional,selection,78,88,resolved,75,20,82,55,74,9.00293952813733,0.104395566548992,provisional_valid,13.2419282307565,0.824029425056999,13.2419282307565,rising,resolved,NaN,NaN,1,0.02,23,gamma,25,53,1,0,22,0,0.0174757393108333,-1.92365868695157,0.0156611472620416,-1.72961016032696,20,0,1,1,0,1,0
ID13-20200917,85,additional,selection,78,88,resolved,75,20,82,55,74,9.00274852604098,0.105462380188752,provisional_valid,13.5465333371118,1.11737363071071,13.5465333371118,rising,resolved,NaN,NaN,1,0.02,23,exponential,25,53,1,0,22,0,0.0173699979529811,-1.91402437194268,0.0156395994767091,-1.72889888627217,20,0,1,1,0,1,0
ID13-20200917,85,additional,selection,78,88,resolved,70,20,82,50,69,9.08715556957994,0.181091753402829,provisional_valid,51.1601225071709,38.5425367517525,51.1601225071709,rising,resolved,NaN,NaN,2,0.1,23,quadratic,25,53,1,0,17,0,0.0501540865734857,-5.77394223103191,0.0167080599847311,-1.97337518633256,17,0,1,0,-5,1,0
ID13-20200917,88,additional,selection,198,222,resolved,188,165,202,168,187,5.3308876247012,0.105239900014704,provisional_valid,11.8686214894455,25.6557943983386,25.6557943983386,pulse,resolved,NaN,NaN,2,0.02,7,gamma,25,173,1,0,15,0,0.012995574714816,-1.39886175008133,0.0122401213622449,-1.35282705105755,15,0,1,0,2,1,0
ID13-20200917,88,additional,selection,198,222,resolved,187,165,202,167,186,5.48022023813607,0.172295499133883,provisional_valid,-0.223907355170199,27.4536315058695,27.4536315058695,pulse,resolved,NaN,NaN,1,0.1,23,gamma,25,173,1,0,14,0,0.0878331598314177,-9.59979798399113,0.0407151951143658,-4.77302399789288,14,0,1,0,1,1,0
ID13-20200917,88,additional,selection,198,222,resolved,187,165,202,167,186,5.4843109873644,0.17904349284647,provisional_valid,0.981968289956662,24.3563712110292,24.3563712110292,pulse,resolved,NaN,NaN,1,0.1,23,exponential,25,173,1,0,14,0,0.0872887355957848,-9.6071812318534,0.0414920443460247,-4.89209248910776,14,0,1,0,1,1,0
ID13-20200917,88,additional,selection,198,222,resolved,188,165,202,168,187,5.74432867252336,0.21345319206623,provisional_valid,4.07801813664306,17.872810030859,17.872810030859,pulse,resolved,NaN,NaN,1,0.2,23,gamma,25,173,1,0,15,0,0.175666319662835,-19.2751384185566,0.0907451745328398,-11.0115021701482,15,0,1,0,2,1,0
