Status,OnsetFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,SelectedModel,SelectedScore,RisingScore,PulseScore,RisingStatus,PulseStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,FitStartFrame,FitEndFrame,Session,EventRow
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-6.90114505506106,-7.86657630120219,insufficient_improvement,insufficient_improvement,NaN,NaN,0,414,475,FB2312-baseline-awake,4
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,491,498,FB2312-baseline-awake,5
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,6.6593898609265,-0.15146222508045,insufficient_improvement,insufficient_improvement,NaN,NaN,0,504,535,FB2312-baseline-awake,6
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-3.02933717757563,-14.6386587072865,insufficient_improvement,insufficient_improvement,NaN,NaN,0,581,645,FB2312-baseline-awake,7
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,1,5,FB2312-baseline-awake,8
model_disagreement,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,23.8076445886352,22.6393038915215,23.8076445886352,resolved,resolved,14,19,2,144,208,FB2312-baseline-awake,9
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-2.70884102816674,1.77949625758612,insufficient_improvement,insufficient_improvement,NaN,NaN,0,264,328,FB2312-baseline-awake,10
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,28.8868664525704,-0.0447929269962306,not_a_rising_change,insufficient_improvement,NaN,NaN,0,342,406,FB2312-baseline-awake,11
resolved,434,414,433,571.970638280876,0.00792012802865338,provisional_valid,pulse,26.6655869610135,17.3074217920126,26.6655869610135,not_a_rising_change,resolved,NaN,NaN,1,413,475,FB2312-baseline-awake,12
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,491,498,FB2312-baseline-awake,13
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,20.2587924749207,-7.04732254337217,not_a_rising_change,insufficient_improvement,NaN,NaN,0,504,535,FB2312-baseline-awake,14
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,7.50757536932448,-8.82796080512756,insufficient_improvement,insufficient_improvement,NaN,NaN,0,581,645,FB2312-baseline-awake,15
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,14.2888437391557,-13.1143553665612,not_a_rising_change,insufficient_improvement,NaN,NaN,0,651,688,FB2312-baseline-awake,16
best_model_unresolved,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,14.2794721814103,14.2794721814103,2.89656428976468,search_boundary_unresolved,insufficient_improvement,NaN,NaN,1,1,28,FB2312-baseline-awake,17
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,37,41,FB2312-baseline-awake,18
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,47,55,FB2312-baseline-awake,19
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-2.21087115299267,-15.4300597414111,insufficient_improvement,insufficient_improvement,NaN,NaN,0,76,137,FB2312-baseline-awake,20
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,2.63505362883443,-10.1737241739415,insufficient_improvement,insufficient_improvement,NaN,NaN,0,207,255,FB2312-baseline-awake,21
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,4.03147308353131,-7.79437498551405,insufficient_improvement,insufficient_improvement,NaN,NaN,0,321,359,FB2312-baseline-awake,22
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,371,376,FB2312-baseline-awake,23
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,356,362,FB2312-baseline-awake,24
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-5.04307221074974,-11.2129146778369,insufficient_improvement,insufficient_improvement,NaN,NaN,0,326,370,FB2312-baseline-awake,25
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,379,384,FB2312-baseline-awake,26
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,10.233821207093,-6.96676501734017,not_a_rising_change,insufficient_improvement,NaN,NaN,0,327,382,FB2312-baseline-awake,27
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-7.76845277067173,-13.7240859021703,insufficient_improvement,insufficient_improvement,NaN,NaN,0,488,516,FB2312-baseline-awake,28
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,434,442,FB2312-baseline-awake,29
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,495,520,FB2312-baseline-awake,30
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,431,453,FB2312-baseline-awake,31
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-6.88026338615395,-13.2109721619786,insufficient_improvement,insufficient_improvement,NaN,NaN,0,583,620,FB2312-baseline-awake,32
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,4.67500355795978,-8.24809664180143,insufficient_improvement,insufficient_improvement,NaN,NaN,0,764,828,FB2312-baseline-awake,33
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,0.57092915765863,-12.8914202756667,insufficient_improvement,insufficient_improvement,NaN,NaN,0,570,625,FB2312-baseline-awake,34
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-3.44888584247823,-13.3905549825481,insufficient_improvement,insufficient_improvement,NaN,NaN,0,759,823,FB2312-baseline-awake,35
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,659,665,FB2312-baseline-awake,36
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,3.68786953344225,-18.4350589026544,insufficient_improvement,insufficient_improvement,NaN,NaN,0,677,734,FB2312-baseline-awake,37
resolved,814,794,813,2627.44659803512,0.104349308481458,provisional_valid,rising,18.3844355807204,18.3844355807204,4.47497940991365,resolved,insufficient_improvement,NaN,NaN,1,764,828,FB2312-baseline-awake,38
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,852,858,FB2312-baseline-awake,39
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-1.52370292095652,-7.32859109121687,insufficient_improvement,insufficient_improvement,NaN,NaN,0,878,942,FB2312-baseline-awake,40
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,1,8,FB2411,1
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,36,40,FB2411,2
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,85,94,FB2411,3
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,85,94,FB2411,4
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,101,108,FB2411,5
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-1.04140671547653,-15.8426400002357,insufficient_improvement,insufficient_improvement,NaN,NaN,0,102,149,FB2411,6
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-9.16706452347473,-20.2504944449748,insufficient_improvement,insufficient_improvement,NaN,NaN,0,171,231,FB2411,7
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,8.52993064324968,2.07638361671614,insufficient_improvement,insufficient_improvement,NaN,NaN,0,92,156,FB2411,8
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,153,168,FB2411,9
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,273,295,FB2411,10
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,4.01518937775611,-4.31374349016984,insufficient_improvement,insufficient_improvement,NaN,NaN,0,232,296,FB2411,11
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-6.22187047346902,-16.966305266798,insufficient_improvement,insufficient_improvement,NaN,NaN,0,232,296,FB2411,12
