Session,Component,EventIndex,Frame,Source,Observed,PreNativeBlocked,NativeStart,NativeEnd,TruthStart,Onset,ReferenceMean
M400-01-baseline-awake,2,28,187,130.57056603773586,130.57056603773586,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,188,128.20528301886793,128.20528301886793,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,189,127.28,127.28,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,190,131.28981132075472,131.28981132075472,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,191,128.40037735849057,128.40037735849057,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,192,127.83698113207546,127.83698113207546,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,193,129.21471698113209,129.21471698113209,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,194,130.52528301886792,130.52528301886792,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,195,129.30830188679246,129.30830188679246,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,196,128.27283018867925,128.27283018867925,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,197,126.70377358490566,126.70377358490566,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,198,126.40150943396226,126.40150943396226,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,199,127.20415094339623,127.20415094339623,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,200,127.4422641509434,127.4422641509434,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,201,127.92528301886793,129.08830188679246,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,202,127.36905660377359,129.57735849056604,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,203,129.81132075471697,133.05283018867925,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,204,129.63094339622643,133.79811320754717,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,205,128.92075471698112,133.87698113207549,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,206,127.56905660377359,133.12566037735849,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,207,125.92377358490566,132.11849056603774,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,208,130.60905660377358,137.51849056603774,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,209,130.3411320754717,137.85622641509434,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,210,125.28603773584905,133.05433962264152,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,211,127.50301886792452,135.77283018867925,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,212,128.39396226415096,137.0188679245283,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,213,126.40075471698113,135.2,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,214,128.56301886792454,137.91811320754718,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,215,129.4233962264151,138.96641509433962,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,216,129.08641509433963,138.81245283018868,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,217,128.8520754716981,138.77962264150943,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,218,127.96188679245283,137.7622641509434,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,219,125.79773584905661,135.4845283018868,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,220,121.20264150943396,130.63962264150945,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,221,118.38528301886792,127.68603773584906,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,222,117.00188679245284,126.1822641509434,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,223,121.5588679245283,131.28716981132075,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,224,124.52075471698113,134.4079245283019,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,225,126.08490566037736,136.10603773584904,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,226,128.2067924528302,138.37735849056602,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,227,127.26603773584905,137.2754716981132,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,228,130.06301886792454,140.29207547169813,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,229,129.9090566037736,139.9177358490566,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,230,129.3656603773585,139.30716981132076,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,231,128.511320754717,138.21056603773584,0,215,226,201,NaN,NaN
M400-01-baseline-awake,3,43,340,118.24480297859138,118.41141793360224,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,341,115.36053366428793,115.52295997517841,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,342,115.9928637914986,116.1511014582687,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,343,116.31290722928948,116.46835246664598,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,344,115.94384114179336,116.09789016444307,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,345,116.15653118212845,116.30778777536457,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,346,116.9176233322991,117.06639776605647,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,347,116.22401489295687,116.36906608749612,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,348,114.63481228668942,114.77226186782501,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,349,114.92382873099596,115.05941669252249,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,350,113.25969593546385,113.38473471920571,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,351,112.0695004654049,112.1926776295377,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,352,111.34502016754577,111.45640707415451,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,353,114.45501085944773,114.56313993174061,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,354,113.79304995345952,113.89218119764195,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,355,114.5221843003413,114.6196090598821,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,356,111.36565311821285,111.44942600062053,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,357,109.74961216258144,109.81787154824697,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,358,107.87697797083463,107.93546385355259,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,359,108.93158547936704,108.98340055848588,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,360,110.83974557865344,110.89031957803289,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,361,111.26512565932362,111.3029785913745,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,362,111.76233322991003,111.79785913744958,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,363,112.63620850139621,112.66568414520633,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,364,114.64986037852933,114.67731926776295,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,365,114.34827800186162,114.37201365187714,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,366,113.19872789326715,113.2170338194229,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,367,113.37868445547626,113.39016444306547,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,368,115.84036611852312,115.85122556624263,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,369,114.14644740924605,114.1540490226497,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,370,115.44058330747751,115.44942600062053,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,371,113.95252869996898,113.95826869376357,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,372,115.93810114799876,115.94368600682594,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,373,114.81833695314924,114.82345640707416,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,374,114.95283896990382,114.95656220912194,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,375,116.39497362705553,116.39699038163202,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,376,116.33540179956562,116.33695314923983,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,377,115.73875271486193,115.73875271486193,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,378,115.4635432826559,115.4635432826559,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,379,116.47828110456096,116.47828110456096,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,380,116.05538318336953,116.05538318336953,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,381,116.12845175302513,116.12845175302513,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,382,115.55352156376047,115.55352156376047,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,383,115.07213775985107,115.07213775985107,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,384,116.10331988830282,116.10331988830282,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,385,116.23332299100217,116.23332299100217,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,386,114.37340986658393,114.37340986658393,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,387,114.90847036922122,114.90847036922122,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,388,115.84533043748061,115.84533043748061,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,389,115.72696245733789,115.72696245733789,1,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,390,116.17856034750233,116.17856034750233,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,391,117.0587961526528,117.0587961526528,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,392,115.61511014582688,115.61511014582688,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,393,116.5881166614955,116.5881166614955,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,394,116.53242320819113,116.53242320819113,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,395,116.93670493329196,116.93670493329196,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,396,116.86161960905989,116.86161960905989,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,397,116.36766987278932,116.36766987278932,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,398,115.0114799875892,115.0114799875892,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,399,116.93592925845486,116.93592925845486,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,400,115.7600062053987,115.7600062053987,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,401,114.79723859757989,114.88256282966181,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,402,118.75892026062675,119.09990691901955,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,403,117.85215637604716,118.62659013341607,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,404,115.97797083462612,117.32035370772572,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,405,111.14101768538629,113.12224635432827,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,406,109.7857586099907,112.62007446478437,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,407,110.30359913124418,114.15218740304064,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,408,111.2263419174682,115.09851070431276,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,409,110.46711138690661,114.40676388457959,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,410,108.7600062053987,112.85898231461371,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,411,108.81818181818181,113.3982314613714,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,412,110.55926155755508,115.71610300961837,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,413,110.59447719515978,116.66149550108595,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,414,111.50248215947875,118.44616816630469,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,415,111.24030406453615,119.31104560968042,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,416,112.30809804529942,120.4477195159789,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,417,113.64660254421347,121.84114179336022,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,418,111.77769159168477,119.8287309959665,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,419,112.64768848898542,120.18523115110146,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,420,113.42646602544214,120.50186161960906,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,421,113.72308408315234,120.37759851070432,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,422,114.79506670803599,121.00775674837108,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,423,114.58687558175613,120.39171579273969,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,424,112.62240148929568,117.98045299410487,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,425,113.59540800496431,118.76559106422587,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,426,116.07074154514427,121.04421346571517,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,427,114.40940117902575,118.50062053986969,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,428,113.2922742786224,116.64598200434378,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,429,113.24356189885201,115.9734719205709,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,430,114.21765435929258,116.42801737511635,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,431,115.37790878063916,117.14179336022339,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,432,114.40536766987279,115.79537697797083,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,433,114.32128451753024,115.37232392181198,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,434,113.17282035370772,113.91855414210363,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,435,113.5952528699969,114.12643499844864,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,436,116.07896369841762,116.4247595408005,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,437,115.5760161340366,115.76590133416072,0,405,433,401,NaN,NaN
M400-01-baseline-awake,3,43,438,115.68352466645982,115.77707105181508,0,405,433,401,NaN,NaN
M400-01-baseline-awake,5,29,439,122.0140597539543,122.0140597539543,1,504,526,501,NaN,NaN
M400-01-baseline-awake,5,29,440,119.76731107205624,119.76731107205624,1,504,526,501,NaN,NaN
M400-01-baseline-awake,5,29,441,119.97644991212654,119.97644991212654,1,504,526,501,NaN,NaN
