Session,Case,Frame,RecipePeak1Parent,RecipePeak2Parent,SupportState,Outcome,PreviousCandidates,MinimumPreviousHistoryFrames,MarkerDistanceUm,SaddleDropFraction
M400-01-baseline-awake,crossing_pair,105,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,106,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,107,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,108,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,109,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,110,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,111,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,112,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,113,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,114,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,115,2,4,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,116,3,6,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,117,2,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,118,1,4,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,119,1,4,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,120,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,4,164.887272098243,0.974447290139559
M400-01-baseline-awake,crossing_pair,121,2,2,recipe_peaks_in_one_native_candidate,split_applied,2,5,169.741899659454,0.852211197430093
M400-01-baseline-awake,crossing_pair,122,4,4,recipe_peaks_in_one_native_candidate,split_applied,2,6,166.791973727755,0.503349620168128
M400-01-baseline-awake,crossing_pair,123,4,4,recipe_peaks_in_one_native_candidate,markers_too_close,2,7,95.4738184006485,NaN
M400-01-baseline-awake,crossing_pair,124,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,125,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,126,5,5,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
