EventIndex,EventType,EventRow,SiteRow,NativeStartFrame,NativeEndFrame,NativeVolume,ProductionAmplitude,ProductionBaselineStatus
234,sink,184,49,409,412,1613,NaN,insufficient_clean_prebaseline
235,sink,185,49,417,419,2975,NaN,insufficient_clean_prebaseline
236,sink,186,49,421,428,7327,NaN,insufficient_clean_prebaseline
237,sink,187,49,431,436,1891,NaN,insufficient_clean_prebaseline
238,sink,188,50,404,406,445,0.108104597920311,valid
239,sink,189,51,411,413,710,0.117687633162727,valid
240,sink,190,52,412,414,548,0.113668069641335,valid
241,sink,191,53,456,458,521,0.086379781379886,valid
242,sink,192,54,468,470,720,0.0724001151631924,valid
243,sink,193,55,488,490,464,0.100446715729983,valid
244,sink,194,56,512,527,5449,0.102829068868599,valid
245,sink,195,56,530,547,5716,NaN,insufficient_clean_prebaseline
246,sink,196,56,549,567,8924,NaN,insufficient_clean_prebaseline
